,word_0,weight_0,word_1,weight_1,word_2,weight_2,word_3,weight_3,word_4,weight_4,word_5,weight_5,word_6,weight_6,word_7,weight_7,word_8,weight_8,word_9,weight_9,word_10,weight_10,word_11,weight_11,word_12,weight_12,word_13,weight_13,word_14,weight_14,word_15,weight_15,word_16,weight_16,word_17,weight_17,word_18,weight_18,word_19,weight_19,word_20,weight_20,word_21,weight_21,word_22,weight_22,word_23,weight_23,word_24,weight_24
0,police,0.022789121298,child,0.0366401227977,law,0.0192755273535,art,0.0139242131792,study,0.0125795438011,company,0.024235345509,water,0.0104079540282,city,0.0291437872298,win,0.0241344800021,food,0.0145781472833,political,0.0197875170162,charge,0.0209556106056,pay,0.0164708923771,company,0.0243467576885,percent,0.0304808452474,contract,0.0171880403621,campaign,0.0225094084912,editor,0.0206927814587,thing,0.0238235450557,military,0.0191800581352,book,0.0186033332586,music,0.021952102588,wear,0.00880081215071,game,0.0359044384069,president,0.0366516999067
1,man,0.0219806594493,school,0.0351651668258,rule,0.0179538391913,artist,0.00974920845937,drug,0.00976056782963,sell,0.0133031638204,mile,0.00816997752168,building,0.0211843657226,second,0.0170500097503,eat,0.00899305502467,leader,0.015144325664,case,0.016649294628,program,0.0158494980912,financial,0.0140169396337,market,0.0201734687914,deal,0.0145412899775,vote,0.0212667465717,article,0.0118443947602,ask,0.0170708063172,war,0.0181909978851,write,0.0164564780427,play,0.0158873880479,color,0.00753471087186,team,0.0252756897681,director,0.0272322904256
2,kill,0.015504435152,student,0.0252460822511,court,0.013902048412,museum,0.00846424114767,doctor,0.00952130441098,computer,0.0129369396072,air,0.00802319039515,resident,0.0154698722244,final,0.0111905851114,restaurant,0.00861299246944,country,0.014926654728,lawyer,0.0150015110336,budget,0.0158069771654,bank,0.0138746386368,price,0.0182621213716,sign,0.012693682454,republican,0.0158247435479,american,0.00998581445508,tell,0.0157473059284,american,0.0147476630221,film,0.0138598765233,performance,0.014404844246,design,0.00725842514581,player,0.0234521175594,executive,0.0270576914336
3,death,0.0140170455497,family,0.0247438601492,decision,0.0138878312916,open,0.00744650619448,research,0.00943537532927,sale,0.0104922962311,plant,0.0073221709415,area,0.0140496025334,race,0.0107462529943,serve,0.00857208547316,government,0.0137040202777,official,0.0141341392702,state,0.0148187842836,share,0.0132464498162,rise,0.0159865292971,expect,0.0116748092388,candidate,0.0147129689005,world,0.0094556119326,feel,0.0139910611375,states,0.0130862468765,story,0.0122970746222,audience,0.0122734919072,fashion,0.00692831490987,play,0.0226819783129,name,0.0203051622647
4,die,0.0102644058557,woman,0.0152652325707,case,0.0133121779868,exhibition,0.00741125110859,patient,0.00914550916463,network,0.0102540136667,official,0.00700525692769,build,0.014021191878,finish,0.0105684830997,dinner,0.00757292455453,meeting,0.00978390818738,investigation,0.012723710077,tax,0.0145367753177,money,0.0121013883104,rate,0.0153693066053,plan,0.0110231494966,election,0.0145717802399,great,0.00838697955095,really,0.0137420403422,force,0.0125633420267,character,0.0121087652938,perform,0.00954851169123,room,0.00626845759904,season,0.0223571568938,mrs,0.0193668282031
5,woman,0.010240931319,parent,0.0147231649334,issue,0.0132736894623,visitor,0.00692175947337,health,0.00890943044414,customer,0.0101929990775,flight,0.0068721165724,community,0.0111553553147,play,0.0102878112668,fresh,0.0075321203942,power,0.00880231071616,trial,0.0109939692474,money,0.0145341308831,stock,0.0118273771074,economy,0.0111751305697,schedule,0.0104021471609,political,0.0140896691339,decade,0.00728487445824,lot,0.0132939602076,official,0.0123534920965,life,0.01120455638,dance,0.00926266580346,small,0.00582135745555,coach,0.0127137439299,chief,0.0187413606776
6,fire,0.00953204054929,mother,0.0126297938979,state,0.0130765074744,century,0.00677290069869,report,0.00835779606285,business,0.00988146181273,car,0.00676928018281,project,0.0110536924507,minute,0.00958080728518,taste,0.00732026412426,policy,0.00865164053262,court,0.00868899962823,bill,0.0143546188365,business,0.0117640680431,increase,0.0107488872831,yesterday,0.00936941832794,party,0.0133827116395,change,0.00667737204368,little,0.0090856541689,government,0.0108718729789,movie,0.0102861028479,song,0.00915882425856,floor,0.00541252394449,score,0.0096145360178,father,0.017485674648
7,car,0.00951439024567,young,0.0124555563714,legal,0.0108057242332,photograph,0.00658789719874,treatment,0.00816702242862,industry,0.00963400971259,problem,0.00661119079338,local,0.0107853210424,point,0.00926735916607,small,0.00670510497755,economic,0.00710222882255,prosecutor,0.0085987653585,cut,0.0123319149763,investment,0.0114187285816,report,0.0104810724255,announce,0.00935667863395,democratic,0.0115596543364,country,0.0066434663435,happen,0.00902068963169,attack,0.0105263667287,man,0.00826041027592,stage,0.00870201520655,light,0.00538961267561,ball,0.00959657835004,receive,0.016898698381
8,officer,0.00936837544947,life,0.0120494258985,require,0.010131979005,tour,0.00639725352728,problem,0.00802888799083,product,0.00944686281599,cause,0.00643004733376,plan,0.00963711096667,lose,0.0091248409332,add,0.00667975575,issue,0.00698063601714,office,0.0082388332805,cost,0.0120955400288,sell,0.0112904995597,fall,0.0103722355319,decision,0.00896985464264,voter,0.00999651140651,americans,0.00654838733084,word,0.00848528038322,peace,0.00931336262124,author,0.0071306719665,sound,0.00861326665558,dress,0.00533063719262,second,0.00928970609548,vice,0.0165809203774
9,night,0.00909989585204,college,0.0112588813735,allow,0.00962742294692,information,0.00620580475181,test,0.0079439779508,television,0.00887034959857,gas,0.00610728743958,street,0.00939379825186,victory,0.00906831785891,water,0.00622593253491,foreign,0.0068448525377,report,0.00811680415266,increase,0.010931469253,pay,0.0112083750894,low,0.00984506573874,meeting,0.00895092711058,democrats,0.00974968324858,public,0.00653629052117,hear,0.00835361666652,troop,0.00861626129424,novel,0.00708381479905,theater,0.00793449510034,wall,0.005050470421,league,0.00904480856741,graduate,0.0163349615249
